name,price,image,clock speed,VRAM,manufacturer,model
Videokarte ASRock AMD Radeon RX 6800 16 GB GDDR6,1644.25,https://images.1a.lv/display/aikido/store/4b879fc443a6a97bf365ebd3c1bab6c0.jpg?h=270&op=fit&w=374,16000 ,16 ,ASRock,AMD Radeon RX 6800
Videokarte Palit GeForce GT 1030 NEC103000646-1082F 2 GB GDDR4,109.15,https://images.1a.lv/display/aikido/store/d8e9df8041ab1a844759f96ddc1eb3f7.jpg?h=270&op=fit&w=374,2100 ,2 ,Palit,GeForce GT 1030
Videokarte Palit GeForce GT 710 NEAT7100HD46H 2 GB GDDR3,63.0,https://images.1a.lv/display/aikido/store/a1c3fca1187d20f66b1739b253578db8.jpg?h=270&op=fit&w=374,800 ,2 ,Palit,GeForce GT 710
Videokarte PNY Nvidia T400 2 GB GDDR6,151.67,https://images.1a.lv/display/aikido/store/3c1c271b4365ad6ffcae6dc0d659718d.jpeg?h=270&op=fit&w=374,420 ,2 ,PNY,Nvidia T400
Videokarte Asus GeForce GT 710 GT710-4H-SL-2GD5 2 GB GDDR5,90.0,https://images.1a.lv/display/aikido/store/e71558fb4173050c9ad7b974b8dd6541.jpg?h=270&op=fit&w=374,954 ,2 ,Asus,GeForce GT 710
Videokarte Gigabyte Aorus GeForce RTX 3070 Ti Master 8GB GDDR6X PCIE,1349.0,https://images.1a.lv/display/aikido/store/f0281eee6857aedbbfacbbcaed07f42e.jpg?h=270&op=fit&w=374,19000 ,8 ,Gigabyte,GeForce RTX 3070 Ti
Videokarte Gigabyte AORUS GeForce RTX 3070 MASTER 8G (rev. 2.0) 8 GB GDDR6,1175.0,https://images.1a.lv/display/aikido/store/df79fcfdce44804057ca99862cc16b94.jpeg?h=270&op=fit&w=374,14000 ,8 ,Gigabyte,GeForce RTX 3070
Videokarte Sapphire Radeon RX 6700 XT PULSE AMD Radeon RX 6700 XT 12 GB GDDR6,1125.0,https://images.1a.lv/display/aikido/store/a16b1a71fea4d71616cbf825e5333908.jpg?h=270&op=fit&w=374,2581 ,12 ,Sapphire,Radeon RX 6700 XT
Videokarte KFA2 GeForce GT 1030 30NPH4HVQ4SK 2 GB GDDR5,96.0,https://images.1a.lv/display/aikido/store/0d78f46804a6c8e9f212c90319ad94f2.jpg?h=270&op=fit&w=374,1227 ,2 ,KFA2,GeForce GT 1030
Videokarte Zotac GeForce GT 730 ZT-71115-20L 4 GB GDDR3,110.97,https://images.1a.lv/display/aikido/store/e19f57781c474d3b79f9532fe33aed7e.jpg?h=270&op=fit&w=374,902 ,4 ,Zotac,GeForce GT 730
Videokarte Gigabyte GeForce GT 730 GV-N730D5-2GL 2 GB GDDR5,92.0,https://images.1a.lv/display/aikido/store/c23c55d7d9c14e40323a2a112247e231.jpg?h=270&op=fit&w=374,5000 ,2 ,Gigabyte,GeForce GT 730
Videokarte Gigabyte Nvidia GeForce RTX 3060 12 GB GDDR6,834.77,https://images.1a.lv/display/aikido/store/0706b4923ec876838de0c599b8c1ac2d.jpg?h=270&op=fit&w=374,15000 ,12 ,Gigabyte,GeForce RTX 3060
Videokarte MSI GeForce GT 730 N730K-2GD3H/LP 2 GB GDDR3,69.0,https://images.1a.lv/display/aikido/store/ed0d1a4f75047df78b08ed1f56c4498a.jpg?h=270&op=fit&w=374,1600 ,2 ,MSI,GeForce GT 730
Videokarte MSI Nvidia GeForce RTX 3060 12 GB GDDR6,911.6,https://images.1a.lv/display/aikido/store/e52741afc3a794c51bbaa966bcb059ac.jpg?h=270&op=fit&w=374,15000 ,12 ,MSI,GeForce RTX 3060
Videokarte Lenovo Nvidia T600 4X61E26090 4 GB GDDR6,219.82,https://images.1a.lv/display/aikido/store/96c1abb7a8e9538b57c060b45da51fa3.jpeg?h=270&op=fit&w=374,1400 ,4 ,Lenovo,Nvidia T600
Videokarte PNY Quadro P620 VCQP620DVIV2-PB 2 GB GDDR5,214.92,https://images.1a.lv/display/aikido/store/a042dc28c08f7396e77121759f6b96cb.jpg?h=270&op=fit&w=374,8000 ,2 ,PNY,Quadro P620
Videokarte PNY Quadro P620 VCQP620DVIV2-PB 2 GB GDDR5,222.28,https://images.1a.lv/display/aikido/store/6cf885740acd59b0dfc2cb3f1de7ae38.jpg?h=270&op=fit&w=374,8000 ,2 ,PNY,Quadro P620
Videokarte Asus GeForce RTX 3060 Ti 8 GB GDDR6,1045.5,https://images.1a.lv/display/aikido/store/fe16995dcb4b8b8fb8fa616e8f0eb029.jpeg?h=270&op=fit&w=374,1860 ,8 ,Asus,GeForce RTX 3060 Ti
Videokarte Zotac GeForce GT 730 ZT-71113-20L 2 GB GDDR3,82.24,https://images.1a.lv/display/aikido/store/578b958d36a5a37aa9f3a582bf6789e2.jpg?h=270&op=fit&w=374,1600 ,2 ,Zotac,GeForce GT 730
Videokarte MSI AMD Radeon RX 6700 XT 12 GB GDDR6,1168.75,https://images.1a.lv/display/aikido/store/1c5c306cf2162a0e5d3fff4acf368ba5.jpg?h=270&op=fit&w=374,2622 ,12 ,MSI,Radeon RX 6700 XT
Videokarte Gigabyte AMD Radeon RX 6900 XT 16 GB GDDR6,2059.81,https://images.1a.lv/display/aikido/store/47a97839cf45ea08d41de8796afe7a03.jpg?h=270&op=fit&w=374,16000 ,16 ,Gigabyte,AMD Radeon RX 6900 XT
